City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
161,Horqueta,PY,-23.3428,-57.0597,53.08,63,100,12.26,overcast clouds
162,Nouadhibou,MR,20.931,-17.0347,75.18,43,0,10.36,clear sky
163,Gat,IL,31.61,34.7642,68.4,100,0,2.24,clear sky
164,Alofi,NU,-19.0595,-169.9187,82.29,74,40,11.5,scattered clouds
165,Ipixuna,BR,-1.7625,-48.8043,79.79,77,53,7.52,broken clouds
166,Kavieng,PG,-2.5744,150.7967,85.55,64,29,8.1,scattered clouds
167,Cape Town,ZA,-33.9258,18.4232,60.91,56,9,14.0,clear sky
168,Birao,CF,10.2849,22.7882,74.55,41,26,4.79,scattered clouds
169,Loandjili,CG,-4.7561,11.8578,80.71,89,75,4.61,broken clouds
170,Chimore,BO,-16.9833,-65.1333,57.18,99,100,2.19,overcast clouds
171,Dikson,RU,73.5069,80.5464,25.48,97,100,8.01,light snow
172,Nikolskoye,RU,59.7035,30.7861,37.29,83,100,4.25,overcast clouds
173,Makamba,BI,-4.1348,29.804,65.48,66,55,0.96,broken clouds
174,Prado,BR,-17.3411,-39.2208,76.42,87,21,11.56,few clouds
175,Sanjwal,PK,33.7608,72.4336,63.7,47,4,4.21,clear sky
176,Mairana,BO,-18.1167,-63.9333,45.16,51,100,8.01,overcast clouds
177,San Cristobal,VE,7.7669,-72.225,71.78,97,49,1.39,scattered clouds
178,Turukhansk,RU,65.8167,87.9833,15.67,88,93,14.61,overcast clouds
179,Ljungby,SE,56.8332,13.9408,48.61,94,6,4.56,clear sky
180,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
181,Chicama,PE,-7.8447,-79.1469,59.54,79,59,5.95,broken clouds
182,Nortelandia,BR,-14.4547,-56.8028,60.44,92,100,10.63,moderate rain
183,Awbari,LY,26.5921,12.7805,64.98,40,91,6.91,overcast clouds
184,Nauta,PE,-4.5061,-73.5757,75.4,92,100,2.19,overcast clouds
185,Tooele,US,40.5308,-112.2983,51.17,44,88,3.02,overcast clouds
186,General Roca,AR,-39.0333,-67.5833,56.62,15,0,4.61,clear sky
187,Hovd,MN,48.0056,91.6419,24.46,66,15,2.62,few clouds
188,Hambantota,LK,6.1241,81.1185,78.51,84,100,11.97,overcast clouds
189,Nichinan,JP,31.6,131.3667,64.08,85,100,9.35,light rain
190,Faanui,PF,-16.4833,-151.75,77.95,79,96,9.04,light rain
191,Kudahuvadhoo,MV,2.6708,72.8944,80.94,75,96,11.52,overcast clouds
192,Chumikan,RU,54.7183,135.315,34.97,90,89,9.15,light snow
193,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,5.75,light snow
194,Bogorodskoye,RU,56.55,37.8833,33.85,82,100,10.54,overcast clouds
195,Iracoubo,GF,5.4802,-53.2011,79.61,85,100,13.85,overcast clouds
196,Chapais,CA,49.7834,-74.8492,42.58,81,100,5.82,overcast clouds
197,Bagdarin,RU,54.4333,113.6,12.11,48,0,11.72,clear sky
198,Nara,JP,34.6851,135.8049,58.91,78,100,10.36,light rain
199,Shitanjing,CN,39.2342,106.3439,44.51,63,5,5.79,clear sky
200,Williams Lake,CA,52.1415,-122.1445,35.17,80,75,4.61,broken clouds
201,Gamba,GA,-2.65,10.0,76.84,92,100,2.95,overcast clouds
202,Khasan,RU,42.4308,130.6434,51.28,53,100,18.19,overcast clouds
203,Tsivilsk,RU,55.8611,47.4664,33.01,99,100,4.65,light snow
204,Sitka,US,57.0531,-135.33,42.69,61,40,10.36,scattered clouds
205,Trairi,BR,-3.2778,-39.2689,78.08,82,99,10.69,overcast clouds
206,Rupert,US,42.6191,-113.6772,55.18,47,0,4.61,clear sky
207,Fairbanks,US,64.8378,-147.7164,9.61,84,100,0.0,overcast clouds
208,Korla,CN,41.7597,86.1469,44.56,44,100,2.37,overcast clouds
209,Fez,MA,34.0372,-4.9998,68.25,32,0,4.61,clear sky
210,Mangrol,IN,21.1167,70.1167,76.14,38,0,9.33,clear sky
211,Kensington,AU,-33.9167,151.2167,74.71,32,0,28.77,clear sky
212,Talnakh,RU,69.4865,88.3972,24.21,92,100,13.89,overcast clouds
213,Shizilu,CN,35.1711,118.8289,57.83,26,0,7.92,clear sky
214,Klyuchi,RU,52.2667,79.1667,35.26,90,100,5.59,overcast clouds
215,Taksimo,RU,56.3444,114.8794,12.49,65,100,6.49,overcast clouds
216,Kikuyu,KE,-1.2458,36.6633,57.63,89,54,7.74,broken clouds
217,Ponta Do Sol,PT,32.6667,-17.1,70.72,86,96,2.8,overcast clouds
218,Ahipara,NZ,-35.1667,173.1667,68.09,64,1,3.65,clear sky
219,Manokwari,ID,-0.8667,134.0833,84.88,70,100,5.66,overcast clouds
220,Sulangan,PH,11.1373,123.7228,82.89,75,8,7.09,clear sky
221,Sola,VU,-13.8833,167.55,86.67,70,4,0.0,clear sky
222,Governador Dix-Sept Rosado,BR,-5.4577,-37.5209,78.12,64,57,12.82,broken clouds
223,Urumqi,CN,43.801,87.6005,36.55,65,0,0.0,clear sky
224,Ust-Omchug,RU,61.15,149.6333,-0.99,80,70,2.57,broken clouds
225,Mayo,US,38.8876,-76.5119,61.52,94,75,6.91,broken clouds
226,Broome,US,42.2506,-75.833,58.28,78,100,5.75,overcast clouds
227,Bentiu,SS,9.2333,29.8333,76.37,61,39,3.42,scattered clouds
228,Kaitangata,NZ,-46.2817,169.8464,66.69,54,100,10.56,overcast clouds
229,Nanortalik,GL,60.1432,-45.2371,24.42,74,29,7.23,scattered clouds
230,Antofagasta,CL,-23.65,-70.4,60.08,75,39,3.38,scattered clouds
231,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,81,75,9.22,broken clouds
232,Puxinana,BR,-7.1611,-35.9606,69.58,88,40,14.97,scattered clouds
233,Kadnikov,RU,59.5022,40.338,32.77,88,99,9.04,overcast clouds
234,Olafsvik,IS,64.8945,-23.7142,44.64,89,100,9.26,overcast clouds
235,Portland,US,45.5234,-122.6762,54.43,96,100,5.75,light rain
236,Ystad,SE,55.4297,13.8204,54.34,96,100,10.74,overcast clouds
237,Mount Pleasant,US,32.7941,-79.8626,70.0,96,0,0.0,clear sky
238,Lasa,IT,46.6166,10.7002,50.88,72,84,3.65,broken clouds
239,Tuatapere,NZ,-46.1333,167.6833,69.15,41,100,9.62,overcast clouds
240,Sabang,ID,5.8933,95.3214,81.1,72,100,7.34,overcast clouds
241,Lata,PT,40.1629,-8.3327,52.92,95,0,2.04,clear sky
242,Vao,NC,-22.6667,167.4833,74.48,72,1,10.2,clear sky
243,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,0,4.05,clear sky
244,Gornopravdinsk,RU,60.05,69.9,31.21,95,100,8.77,light snow
245,Shenjiamen,CN,29.9576,122.298,67.28,65,100,22.73,overcast clouds
246,Kropotkin,RU,45.4375,40.5756,37.67,60,0,6.87,clear sky
247,Lubbenau,DE,51.8667,13.9667,53.85,86,100,8.28,overcast clouds
248,Cartagena,CO,10.3997,-75.5144,83.82,74,40,3.44,scattered clouds
249,Andenes,NO,69.3143,16.1194,46.38,93,100,10.36,overcast clouds
250,Omsukchan,RU,62.5333,155.8,-4.2,97,31,2.48,scattered clouds
251,Lompoc,US,34.6391,-120.4579,63.79,91,0,6.91,clear sky
252,Mehamn,NO,71.0357,27.8492,37.35,87,100,5.75,light rain
253,Hede,CN,33.7681,120.2517,64.96,57,0,12.95,clear sky
254,Sorland,NO,67.667,12.6934,48.06,96,100,14.05,overcast clouds
255,Roald,NO,62.5833,6.1333,59.92,76,75,5.75,broken clouds
256,Zarand,IR,30.8127,56.564,59.74,27,0,4.59,clear sky
257,Katherine,AU,-14.4667,132.2667,98.92,22,13,11.5,few clouds
258,Cap Malheureux,MU,-19.9842,57.6142,72.46,76,18,4.0,few clouds
259,Tashtyp,RU,52.7939,89.8983,31.42,92,99,2.98,overcast clouds
260,Nemuro,JP,43.3236,145.575,51.62,64,95,10.87,overcast clouds
261,Brae,GB,60.3964,-1.353,53.53,93,100,15.97,overcast clouds
262,Hervey Bay,AU,-25.2986,152.8535,77.99,80,28,25.59,light rain
263,Rocha,UY,-34.4833,-54.3333,50.25,57,100,9.19,overcast clouds
